SN,Nama_Barang,Kode_Gudang,Deskripsi
ZCBCGG401412,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
ZCBCGHC00855,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
ZCBCGHC02888,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
GZ21070334207702,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ21070334200360,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ20120070806780,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ21070334200469,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ21070334200245,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ21070334201889,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ20120070808865,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ21110330402046,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ21070334207129,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
GZ21070334203016,stb transvision,DN/TRF-OMI/26/00481,STB-XTREAM(ATV-TRANSVISION)/D
Z5193606230001335,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230001391,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230003977,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230007073,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230004361,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230004044,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230001570,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230001295,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230006152,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
Z5193606230001977,stb zte,DN/TRF-OMI/26/00481,STB-ZTE-ZXV10 (ATV OXYGEN)/D
ZTEGDACAC957,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDACAD65E,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A66D6,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913EAC8,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A5382,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A4943,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913CB63,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913DF31,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDB144CDC,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDACAD3FD,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDACACB56,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913C5DC,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913C5E6,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913CBCF,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD91406B9,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD913CE0A,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD9140631,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDC6C93B0,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A537E,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD82A5B0D,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGD91EED52,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
ZTEGDB1465B8,ont zte,DN/TRF-EMR/26/00776,ZTE-ONT ZXHN-F672Y (DUAL BAND)/D
