Waktu Scan,Nama Teknisi,Serial Number (SN),Nama Barang,Kabel Precon,No WO / Keterangan,Status Pemasangan Sore,Keterangan Tambahan Sore,Stok Dipotong
2026-06-25 02:13:11,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:13:11,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:16:49,PUTRA-SONY,ZTEGDB1456D8,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:16:54,PUTRA-SONY,48575443DAF34BB1,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:17:08,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:17:08,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:17:08,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 3,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:17:22,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:20:37,PERI-ROBIN,ZTEGDC4AB7E1,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:20:51,PERI-ROBIN,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:20:51,PERI-ROBIN,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:20:58,PERI-ROBIN,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:21:43,RIYAN-RIYADI,48575443F86A59B2,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:22:31,RIYAN-RIYADI,ZTEGD82A42D7,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:22:42,RIYAN-RIYADI,4857544381DC00A7,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:27:42,RAHMAN-FAJAR,ZTEGD82A62BF,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:27:53,RAHMAN-FAJAR,48575443DAFB86B1,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:28:25,RAHMAN-FAJAR,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:28:33,RAHMAN-FAJAR,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:28:33,RAHMAN-FAJAR,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:28:39,RAHMAN-FAJAR,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:28:58,RAHMAN-FAJAR,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:30:25,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 03:01:56,PUTRA-SONY,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
